                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.68962,                0.71765,                0.85834,                0.67433,               0.003333,               0.003333,               0.003333
                      1,                0.33526,                 0.7789,                0.94544,                0.66284,              0.0065343,              0.0065343,              0.0065343
                      2,                0.18903,                0.79738,                0.96174,                0.65878,              0.0096037,              0.0096037,              0.0096037
                      3,                0.14986,                0.79952,                0.96722,                0.65783,               0.009406,               0.009406,               0.009406
                      4,                0.12996,                0.80131,                0.96959,                 0.6577,               0.009406,               0.009406,               0.009406
                      5,                0.11991,                0.80262,                  0.971,                0.65816,               0.009208,               0.009208,               0.009208
                      6,                 0.1089,                0.80359,                0.97236,                0.65923,                0.00901,                0.00901,                0.00901
                      7,                0.11045,                0.80354,                0.97367,                0.66035,               0.008812,               0.008812,               0.008812
                      8,                0.10646,                0.80485,                0.97493,                0.66136,               0.008614,               0.008614,               0.008614
                      9,                0.10159,                0.80907,                0.97604,                0.66132,               0.008416,               0.008416,               0.008416
                     10,                0.09876,                0.81159,                 0.9774,                0.66101,               0.008218,               0.008218,               0.008218
                     11,                0.09664,                0.81465,                0.97813,                0.66011,                0.00802,                0.00802,                0.00802
                     12,                0.09307,                 0.8193,                  0.979,                0.65885,               0.007822,               0.007822,               0.007822
                     13,                 0.0918,                0.82177,                0.97934,                0.65745,               0.007624,               0.007624,               0.007624
